OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1323903,04092021901,FOOD LION #723 PRODUCE,7053 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 266-5164,2015/10/27 00:00:00+00,Food Stand,185,-78.4900383,35.7998273,M
1323904,04092017901,Vaishno Bhog,810 E Chatham ST ,,CARY,NC,27560,(919) 678-3172,2018/07/11 00:00:00+00,Restaurant,202,-78.76305622,35.79140272,M
1323905,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 847-0160 ext. 274,2009/12/30 00:00:00+00,Private School Lunchrooms,205,-78.62608851,35.88760817,M
1323906,04092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 834-2720,2018/07/25 00:00:00+00,Restaurant,206,-78.6456917,35.77945516,M
1323907,04092017186,STARBUCKS #25115,180 CABELA DR ,,GARNER,NC,27529,(919) 819-5059,2016/03/29 00:00:00+00,Restaurant,207,-78.58356211,35.69799194,M
1323908,04092016083,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST ,,FUQUAY-VARINA,NC,27526,(919) 567-8272,2012/01/31 00:00:00+00,Restaurant,209,-78.7258865,35.62516136,M
1323909,04092021426,Speedway #6959,2808 US 70 HWY E ,,CLAYTON,NC,27520-9321,(919) 553-3535,2006/12/21 00:00:00+00,Food Stand,219,-78.52023463,35.67517694,M
1323910,04092025265,Mama Crow's,500 E Davie  ST ,STE 116,RALEIGH,NC,27601,,2019/06/18 00:00:00+00,Food Stand,233,-78.63206132,35.77487463,M
1323911,04092016118,TENKO JAPAN,6325 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 876-4545,2012/03/01 00:00:00+00,Restaurant,239,-78.62251606,35.86922851,M
1323912,04092018239,Mezeh Grill,2316 HILLSBOROUGH ST,106,RALEIGH,NC,27607-7384,(919) 386-3435,2019/11/22 00:00:00+00,Restaurant,240,-78.66664805,35.78770631,M
1323913,04092017330,GALAXY FUN PARK,14460 FALLS OF NEUSE RD ,,RALEIGH,NC,27614,(919) 584-4000,2016/09/19 00:00:00+00,Restaurant,242,-78.54362008,35.94386602,M
1323914,04092016824,WING STOP #816,7880 ALEXANDER PROMENADE PLACE,,RALEIGH,NC,27617,(919) 237-3919,2014/12/05 00:00:00+00,Restaurant,244,-78.77695631,35.91424375,M
1323915,04092018496,Chick-fil-A #868,4621 Capital  BLVD ,,RALEIGH,NC,27604,(919) 850-2175,2020/11/13 00:00:00+00,Restaurant,245,-78.58118683,35.84746002,M
1323916,04092014480,Pruitt Health - Raleigh Dining,2420 Lake Wheeler RD,,RALEIGH,NC,27603,(919) 755-0226,2006/01/10 00:00:00+00,Restaurant,248,-78.67644314,35.74808355,M
1323917,04092018250,Pizza Hut #036586,3691 New Bern AVE ,,RALEIGH,NC,27610,(919) 900-8096,2019/12/03 00:00:00+00,Restaurant,249,-78.57923704,35.79885313,M
1323918,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 00:00:00+00,Food Stand,28,-78.63887103,35.83819686,M
1323919,04092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,,WAKE FOREST,NC,27587,(919) 648-4221,2013/05/31 00:00:00+00,Restaurant,266,-78.54504471,35.96485726,M
1323920,04092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,SUITE 103,RALEIGH,NC,27616,(919) 803-6920,2016/09/27 00:00:00+00,Restaurant,270,-78.537511,35.87630713,M
1323921,04092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 586-7343,2017/03/03 00:00:00+00,Restaurant,272,-78.84948074,35.66266499,M
1323922,04092050030,Wake Christian Academy Cafeteria,5500 Wake Academy Dr,,RALEIGH,NC,27603,(919) 772-6264,2018/08/03 00:00:00+00,Private School Lunchrooms,274,-78.67165429,35.70444604,M
1323923,04092017849,The Melting Pot,3100 Wake Forest RD ,,RALEIGH,NC,27609-7846,(919) 878-0477,2018/05/14 00:00:00+00,Restaurant,289,-78.62038753,35.82333592,M
1323924,04092030223,Valentino's (WCID 378),4820 Signett DR ,,RALEIGH,NC,27615,(919) 376-5814,2010/07/09 00:00:00+00,Mobile Food Units,290,-78.58339304,35.85150753,M
1323925,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009/01/12 00:00:00+00,Restaurant,297,-78.64931864,35.78886208,M
1323926,04092017538,PIZZERIA FAULISI,215 E CHATHAM ST ,SUITE 101,CARY,NC,27511,(919) 377-8244,2017/02/21 00:00:00+00,Restaurant,298,-78.77734174,35.78786553,M
1323927,04092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,,CARY,NC,27511,(919) 800-1802,2020/01/27 00:00:00+00,Restaurant,301,-78.78193974,35.75976658,M
1323928,04092018254,Teriyaki Madness,160 SHENSTONE BLVD,,GARNER,NC,27529,,2019/12/02 00:00:00+00,Restaurant,302,-78.58054205,35.69110315,M
1323929,04092016286,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 832-6522,2012/11/01 00:00:00+00,Restaurant,315,-78.67445032,35.78959693,M
1323930,04092017190,THE FALCON'S NEST AT ST. AUGUSTINE,1315 OAKWOOD AVE ,,RALEIGH,NC,27601,(919) 821-7646,2016/03/28 00:00:00+00,Restaurant,317,-78.61949307,35.78808582,M
1323931,04092021953,COSTCO WHOLESALE #1206 ROTISSERIE/DELI,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Food Stand,321,-78.82726689,35.7464159,M
1323932,04092021928,CIRCLE K #2723302,1414  E WILLIAMS ST ,,APEX,NC,27539,(919) 362-5131,2016/02/25 00:00:00+00,Food Stand,328,-78.83931692,35.71149361,M
1323933,04092016263,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 436-3995,2012/09/20 00:00:00+00,Restaurant,329,-78.70609774,35.86074545,M
1323934,04092030440,Taco Veloz  (WCID #736),1312 N ARENDELL AVE,,ZEBULON,NC,27597-8732,(914) 497-2580,2019/08/26 00:00:00+00,Mobile Food Units,331,-78.32392727,35.83867806,M
1323935,04092021952,COSTCO WHOLESALE #1206 MEAT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Food Stand,332,-78.82726689,35.7464159,M
1323936,04092017192,STARBUCKS #19453,185 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-3246,2016/04/05 00:00:00+00,Restaurant,335,-78.84948074,35.66266499,M
1323937,04092017187,THE 19TH HOLE,1527 TRYON RD ,,RALEIGH,NC,27603,(919) 772-9987,2016/04/01 00:00:00+00,Restaurant,339,-78.66755526,35.73521897,M
1323938,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Restaurant,343,-78.82726689,35.7464159,M
1323939,04092017178,RALEIGH RAW,7 W HARGETT ST ,,RALEIGH,NC,27601,(919) 400-0944,2016/03/14 00:00:00+00,Restaurant,344,-78.63957991,35.77810063,M
1323940,04092018368,D's Bottle Shop,13200 Falls of Neuse RD ,STE 115,RALEIGH,NC,27614,(919) 435-7034,2020/05/20 00:00:00+00,Restaurant,345,-78.55981965,35.9407555,M
1323941,04092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-1209,2013/08/20 00:00:00+00,Restaurant,350,-78.52999701,35.94975468,M
1323942,04092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,,MORRISVILLE,NC,27650,(919) 234-0652,2019/12/03 00:00:00+00,Restaurant,352,-78.84707532,35.82315923,M
1323943,04092016255,BOTTLE MIXX,8111 CREEDMOOR RD ,STE 153,RALEIGH,NC,27613,(919) 615-1703,2012/09/11 00:00:00+00,Restaurant,353,-78.68248786,35.89850336,M
1323944,04092015099,Subway #41217,8410-140 Louisburg RD ,,RALEIGH,NC,27616,(919) 266-0300,2008/03/25 00:00:00+00,Restaurant,49,-78.51125194,35.89400635,M
1323945,04092017191,TAMARIND,8531-109 BRIER CREEK PKY ,,RALEIGH,NC,27617,(919) 406-3473,2016/03/31 00:00:00+00,Restaurant,52,-78.78606215,35.90557616,M
1323946,04092014754,Lam's Garden Restaurant,1100-113 Raleigh BLVD ,,RALEIGH,NC,27610,(919) 828-2118,2006/12/22 00:00:00+00,Restaurant,260,-78.61277558,35.79430477,M
1323947,04092018228,Hady International Food,717-199 E MARTIN ST ,,RALEIGH,NC,27610,(919) 741-1111,2019/11/13 00:00:00+00,Restaurant,264,-78.62699406,35.77656647,M
1323948,04092017322,BADA BEAN COFFEE & THINGS,938 GATEWAY COMMONS CIR ,,WAKE FOREST,NC,27587,(984) 235-4608,2016/09/16 00:00:00+00,Restaurant,354,-78.4951784,35.96732914,M
1323949,04092017179,DUCK DONUTS,8323 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 847-8300,2016/03/08 00:00:00+00,Restaurant,363,-78.68223183,35.90105252,M
1323950,04092022008,KINGS WOK,8320 Litchford  RD ,SUITE 160,RALEIGH,NC,27615,(919) 878-5252,2017/03/09 00:00:00+00,Food Stand,369,-78.59988229,35.89223772,M
1323951,04092018422,Moe's Southwest Grill #283,10760 WAKEFIELD COMMONS DR,,RALEIGH,NC,27614,(919) 570-3222,2020/08/19 00:00:00+00,Restaurant,374,-78.5408878,35.94279833,M
1323952,04092025276,Square Burgers,225 E MARTIN ST ,,RALEIGH,NC,27601-1316,(919) 896-6600,2019/07/29 00:00:00+00,Food Stand,303,-78.63544584,35.77685868,M
1323953,04092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,,RALEIGH,NC,27610,(919) 516-5111,2017/03/01 00:00:00+00,Restaurant,338,-78.61376,35.75438832,M
1323954,04092017534,YUMMY HIBACHI,"7110 KNIGHTDALE BLVD, STE P",,KNIGHTDALE,NC,27545,(919) 373-0325,2017/03/09 00:00:00+00,Restaurant,386,-78.4899936,35.79638702,M
1323955,04092021583,HARRIS TEETER #311 PRODUCE,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 00:00:00+00,Food Stand,398,-78.83920922,35.63987917,M
1323956,04092016702,China Wok,7440-143 Louisburg RD ,,RALEIGH,NC,27616,(919) 862-9898,2014/05/28 00:00:00+00,Restaurant,378,-78.54049905,35.87559319,M
1323957,04092014980,Daly Cafe and Pub at Holiday Inn,930 Airport BLVD ,,MORRISVILLE,NC,27560,(919) 465-1910 ext. 101,2007/10/17 00:00:00+00,Restaurant,410,-78.82187156,35.85658845,M
1323958,04092016152,CLARK DINING HALL,221 JENSEN  DR ,,RALEIGH,NC,27695,(919) 513-4680,2012/02/09 00:00:00+00,Restaurant,412,-78.67872874,35.78448278,M
1323959,04092025275,LOVE BAO TAIWANESE KITCHEN,1961 High House RD ,,CARY,NC,27519,(919) 622-3586,2019/07/22 00:00:00+00,Food Stand,429,-78.84865444,35.78921622,M
1323960,04092018483,LoneRider at Five Points,1626 Glenwood Ave ,,RALEIGH,NC,27608,(919) 322-2434,2020/11/10 00:00:00+00,Restaurant,434,-78.64536523,35.80340045,M
1323961,04092017043,BALI-HAI,1571 US 70 HWY W ,,GARNER,NC,27529,(984) 200-5100,2015/09/26 00:00:00+00,Restaurant,459,-78.64815188,35.72323377,M
1323962,04092014860,Jersey Mike's #3042,7949 Fayetteville RD,,RALEIGH,NC,27603,(919) 661-0111,2007/04/24 00:00:00+00,Restaurant,461,-78.69742539,35.66508155,M
1323963,04092015471,CHICK-FIL-A #2181,801 VILLAGE WALK  DR ,,HOLLY SPRING,NC,27540,(919) 567-0060,2009/09/02 00:00:00+00,Restaurant,487,-78.83457704,35.6392159,M
1323964,04092025298,Pizza Hut Delivery #036624,4011 Capital BLVD ,,RALEIGH,NC,27604,(919) 790-8111,2019/12/03 00:00:00+00,Food Stand,488,-78.58372976,35.83623733,M
1323965,04092017925,Dominos #8849,708 Slash Pine DR ,,CARY,NC,27519,(919) 439-5859,2018/08/07 00:00:00+00,Restaurant,508,-78.90892711,35.83075427,M
1323966,04092014842,Panda Express #1352,1000 Beaver Creek Commons DR ,,APEX,NC,27502,(919) 362-6369,2007/04/05 00:00:00+00,Restaurant,509,-78.87317907,35.74519929,M
1323967,04092030485,Dubz Grub (WCID #775),2201 S WILMINGTON ST,,RALEIGH,NC,27603-2559,(919) 539-6022,2020/07/06 00:00:00+00,Mobile Food Units,511,-78.63902655,35.752054,M
1323968,04092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,C110,RALEIGH,NC,27609,(919) 881-2590,2012/09/21 00:00:00+00,Restaurant,522,-78.63994726,35.83691426,M
1323969,04092017271,WENDY'S #6335,4510 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 661-0711,2016/08/17 00:00:00+00,Restaurant,523,-78.65542454,35.71891124,M
1323970,04092021950,KANGAROO EXPRESS #2720869,8500 HARPS MILL RD ,,RALEIGH,NC,27615-3834,(919) 872-0614,2016/03/16 00:00:00+00,Food Stand,547,-78.60165311,35.89132184,M
1323971,04092021896,FOOD LION #1481 PRODUCE,7713 LEAD MINE RD ,,RALEIGH,NC,27615,(919) 518-1607,2015/10/21 00:00:00+00,Food Stand,574,-78.66044244,35.88617531,T
1323972,04092021725,MCDONALDS #10267,4325-2051 GLENWOOD AVE ,,RALEIGH,NC,27624,(919) 782-8240,2012/11/19 00:00:00+00,Food Stand,469,-78.67658819,35.8395892,M
1323973,04092017188,CHAMPA THAI & SUSHI,8521 BRIER CREEK  PKY ,STE 119,RALEIGH,NC,27617,(919) 806-0078,2016/03/31 00:00:00+00,Restaurant,578,-78.78334742,35.90685073,M
1323974,04092017051,JERSEY MIKE'S #349,3201-139 EDWARDS MILL RD ,,RALEIGH,NC,27612,(984) 202-5627,2015/10/09 00:00:00+00,Restaurant,471,-78.70556784,35.82545067,M
1323975,04092021604,The Butchers Market,1225 KILDAIRE FARM RD,,CARY,NC,27511,(919) 465-3082,2010/01/20 00:00:00+00,Food Stand,588,-78.78213078,35.7627377,M
1323976,04092021447,Hungry Howie's Pizza,1814-106 Oberlin RD ,,RALEIGH,NC,27608,(919) 789-0001,2007/05/04 00:00:00+00,Food Stand,475,-78.65535151,35.80875926,M
1323977,04092021890,FOOD LION #1496 PRODUCE,1777 W WILLIAMS ST ,,APEX,NC,27502,(919) 362-1986,2015/10/09 00:00:00+00,Food Stand,593,-78.87770701,35.75964934,M
1323978,04092015515,CAJUN CRAB HOUSE,6204-120 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 781-7599,2009/11/10 00:00:00+00,Restaurant,477,-78.70283224,35.85653115,M
1323979,04092014599,Poppy Seed Market,8801-107 Lead Mine RD ,,RALEIGH,NC,27615,(919) 870-4997,2006/05/31 00:00:00+00,Restaurant,505,-78.65799167,35.90484309,M
1323980,04092021891,FOOD LION #669 PRODUCE,405 S MAIN ST ,,ROLESVILLE,NC,27571,(919) 554-4018,2015/10/14 00:00:00+00,Food Stand,625,-78.46472721,35.91731538,T
1323981,04092017669,FIRST CHINA RESTAURANT,6452 TRYON  RD ,,CARY,NC,27518,(919) 852-5857,2017/08/25 00:00:00+00,Restaurant,628,-78.7615544,35.74559939,M
1323982,04092017927,Showmars - Wake Forest,1009-128 Stadium DR ,,WAKE FOREST,NC,27587,(919) 554-9608,2018/07/20 00:00:00+00,Restaurant,599,-78.52993342,35.99015656,M
1323983,04092021899,FOOD LION #193 PRODUCE,5633 CREEDMOOR RD ,,RALEIGH,NC,27612,(919) 781-0597,2015/10/22 00:00:00+00,Food Stand,629,-78.68200551,35.85879117,M
1323984,04092017686,THE PICKLED ONION,10750 WAKEFIELD COMMONS DR ,SUITE 107,RALEIGH,NC,27614,(919) 848-4161,2017/09/29 00:00:00+00,Restaurant,645,-78.54123068,35.94195641,M
1323985,04092014757,Arby's #7814,2601 Wake Forest RD ,,RALEIGH,NC,27609,(919) 832-6885,2007/01/08 00:00:00+00,Restaurant,654,-78.62513234,35.81840468,M
1323986,04092015915,SUBWAY #50592,601 N MAIN ST ,,HOLLY SPRINGS,NC,27545,(919) 557-4411,2011/03/17 00:00:00+00,Restaurant,659,-78.83661982,35.66097455,M
1323987,04092015089,BRUEGGERS BAGELS #143,7550-106 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 848-4902,2008/03/28 00:00:00+00,Restaurant,638,-78.67969753,35.88944343,M
1323988,04092016809,NIGHT KITCHEN BAKERY,10 W. FRANKLIN STREET,,RALEIGH,NC,27604,(984) 232-8907,2014/11/10 00:00:00+00,Restaurant,661,-78.64017516,35.78944175,M
1323989,04092025319,Satori Meals @ TKA,2201 S Wilmington ST ,,RALEIGH,NC,27603,(919) 592-2330,2020/09/01 00:00:00+00,Food Stand,664,-78.63902655,35.752054,M
1323990,04092021659,WHOLE FOODS #10338 PRODUCE,8710 SIX FORKS  RD ,,RALEIGH,NC,27615,(919) 354-0350,2011/03/11 00:00:00+00,Food Stand,667,-78.65023656,35.89889154,M
1323991,04092300243,HARRIS TEETER #311 MEAT MARKET,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27502,(919) 552-1596,2009/09/10 00:00:00+00,Meat Market,668,-78.83920922,35.63987917,M
1323992,04092021475,Lowes Foods #226 Produce,8440 louisburg rd ,,RALEIGH,NC,27616,(919) 866-1031,2007/09/14 00:00:00+00,Food Stand,673,-78.50930992,35.89359383,M
1323993,04092022014,HARRIS TEETER #298 STARBUCKS,10140 GREEN LEVEL CHURCH RD ,,CARY,NC,27519,(919) 460-3126,2017/05/16 00:00:00+00,Food Stand,676,-78.90107787,35.82060358,M
1323994,04092014615,DQ Grill and Chill #41609,5260 New Bern AVE ,,RALEIGH,NC,27610,(919) 792-0127,2006/05/18 00:00:00+00,Restaurant,687,-78.54750981,35.79264454,M
1323995,04092018243,PIZZA HUT #9210,321  N MAIN ST ,,HOLLY SPRINGS,NC,27540,(919) 346-9020,2019/12/03 00:00:00+00,Restaurant,703,-78.83511867,35.65582685,M
1323996,04092018287,Zanyu Asian Noodles,8450 HONEYCUTT RD ,STE. 112,RALEIGH,NC,27615,(919) 803-1340,2020/01/07 00:00:00+00,Restaurant,704,-78.62166097,35.89510574,M
1323997,04092018512,Poke Bros,7870 Alexander Promenade PL ,Ste 110,RALEIGH,NC,27617,(919) 797-2332,2020/12/30 00:00:00+00,Restaurant,716,-78.77695631,35.91424375,M
1323998,04092021963,PUBLIX #1520 DELI,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016/05/23 00:00:00+00,Food Stand,726,-78.79652253,35.70711378,M
1323999,04092016440,CASE DINING HALL,240 JETER DR ,,RALEIGH,NC,27695,(919) 515-2100,2013/06/06 00:00:00+00,Restaurant,727,-78.67872874,35.78448278,M
1324000,04092110467,NORTH WAKE COLLEGE & CAREER ACADEMY-CAFETERIA,931 Durham Hwy,,WAKE FOREST,NC,27587,(919) 570-2203,2007/08/21 00:00:00+00,Public School Lunchrooms,725,-78.54217531,35.9781402,M
1324001,04092014948,Hardee's #1189,100 Vandora Springs RD ,,GARNER,NC,27529,(919) 772-7209,2007/09/12 00:00:00+00,Restaurant,735,-78.62108066,35.71260367,M
1324002,04092018401,Starbucks #55618,1268 W WILLIAMS ST,,APEX,NC,27502,(919) 545-4787,2020/07/09 00:00:00+00,Restaurant,744,-78.87327975,35.74703535,M
1324003,04092030500,Krab Kingz (WCID #793),10125 DIVISION DR,,RALEIGH,NC,27603-5664,(919) 658-8784,2020/10/26 00:00:00+00,Mobile Food Units,762,-78.7114342,35.63398295,M
1324004,04092016397,GINO'S PIZZA,6260 GLENWOOD AVE ,STE 126,RALEIGH,NC,27612-2650,(919) 783-7555,2013/04/04 00:00:00+00,Restaurant,776,-78.70313649,35.85876954,M
1324005,04092021710,FIRE WOK,442 FAYETTEVILLE ST ,,RALEIGH,NC,27601,(919) 821-8089,2012/06/08 00:00:00+00,Food Stand,779,-78.63936414,35.77440995,M
1324006,04092030521,Abbey on the Road (WCID #812),1195 W CHATHAM ST,,CARY,NC,27513-5257,(919) 481-4434,2021/02/11 00:00:00+00,Mobile Food Units,782,-78.80690314,35.77079471,M
1324007,04092030509,Let's Eat (WCID #796),10125 DIVISION DR,,RALEIGH,NC,27603-5664,(919) 753-5725,2020/12/15 00:00:00+00,Mobile Food Units,788,-78.7114342,35.63398295,M
1324008,04092014551,KFC/Taco Bell #J120102,3408 Poole RD,,RALEIGH,NC,27610,(919) 212-2504,2006/04/24 00:00:00+00,Restaurant,813,-78.57981204,35.76819436,M
1324009,04092017064,ALOFT REFUEL AND WXYZ LOUNGE,2100 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 828-9900,2015/10/22 00:00:00+00,Restaurant,815,-78.66354224,35.78687212,M
1324010,04092016808,HARRIS TEETER #257 STARBUCKS,2080 KILDAIRE FARM ROAD,,CARY,NC,27518,(919) 233-9483,2014/11/10 00:00:00+00,Restaurant,820,-78.78068706,35.73567462,M
1324011,04092021892,FOOD LION #815 PRODUCE,2837 WENDELL BLVD ,,WENDELL,NC,27591,(919) 365-3002,2015/10/21 00:00:00+00,Food Stand,824,-78.38037181,35.79568777,M
1324012,04092014995,First Citizens Bank Kitchen,4300 Six Forks RD ,,RALEIGH,NC,27619,(919) 716-8497,2007/10/25 00:00:00+00,Restaurant,833,-78.64107203,35.83913698,M
1324013,04092160084,THE CARDINAL AT NORTH HILLS FOOD SERVICE,311 GARDEN AT NORTH HILLS ST ,,RALEIGH,NC,27609,(984) 204-8444,2017/05/05 00:00:00+00,Institutional Food Service,842,-78.63539181,35.83593253,M
