OBJECTID;HSISID;NAME;ADDRESS1;ADDRESS2;CITY;STATE;POSTALCODE;PHONENUMBER;RestaurantOpenDate;FACILITYTYPE;PERMITID;X;Y;GEOCODESTATUS;geo_shape;geo_point_2d
1323934;04092030440;Taco Veloz  (WCID #736);1312 N ARENDELL AVE;;ZEBULON;NC;27597-8732;(914) 497-2580;2019-08-25T22:00:00-04:00;Mobile Food Units;331;-78.32392727;35.83867806;M;"{""type"": ""Point"", ""coordinates"": [-78.32392978412913, 35.83868516422654]}";35.8386851642,-78.3239297841
1323937;04092017187;THE 19TH HOLE;1527 TRYON RD;;RALEIGH;NC;27603;(919) 772-9987;2016-03-31T22:00:00-04:00;Restaurant;339;-78.66755526;35.73521897;M;"{""type"": ""Point"", ""coordinates"": [-78.66755787441988, 35.73522603364009]}";35.7352260336,-78.6675578744
1323938;04092017181;COSTCO WHOLESALE #1206 FOOD COURT;1021 PINE PLAZA DR;;APEX;NC;27523;(919) 331-6035;2016-03-13T21:00:00-04:00;Restaurant;343;-78.82726689;35.7464159;M;"{""type"": ""Point"", ""coordinates"": [-78.82726955136762, 35.74642296269524]}";35.7464229627,-78.8272695514
1323940;04092018368;D's Bottle Shop;13200 Falls of Neuse RD;STE 115;RALEIGH;NC;27614;(919) 435-7034;2020-05-19T22:00:00-04:00;Restaurant;345;-78.55981965;35.9407555;M;"{""type"": ""Point"", ""coordinates"": [-78.55982224150527, 35.94076261345542]}";35.9407626135,-78.5598222415
1323944;04092015099;Subway #41217;8410-140 Louisburg RD;;RALEIGH;NC;27616;(919) 266-0300;2008-03-24T21:00:00-04:00;Restaurant;49;-78.51125194;35.89400635;M;"{""type"": ""Point"", ""coordinates"": [-78.51125451502558, 35.8940134577126]}";35.8940134577,-78.511254515
1323950;04092022008;KINGS WOK;8320 Litchford  RD;SUITE 160;RALEIGH;NC;27615;(919) 878-5252;2017-03-08T20:00:00-05:00;Food Stand;369;-78.59988229;35.89223772;M;"{""type"": ""Point"", ""coordinates"": [-78.599884889312, 35.8922448204216]}";35.8922448204,-78.5998848893
1323955;04092021583;HARRIS TEETER #311 PRODUCE;324 VILLAGE WALK DR;;HOLLY SPRINGS;NC;27540;(919) 552-1596;2009-09-09T22:00:00-04:00;Food Stand;398;-78.83920922;35.63987917;M;"{""type"": ""Point"", ""coordinates"": [-78.83921188432463, 35.63988621087703]}";35.6398862109,-78.8392118843
1323980;04092021891;FOOD LION #669 PRODUCE;405 S MAIN ST;;ROLESVILLE;NC;27571;(919) 554-4018;2015-10-13T22:00:00-04:00;Food Stand;625;-78.46472721;35.91731538;T;"{""type"": ""Point"", ""coordinates"": [-78.46472977814355, 35.9173224967878]}";35.9173224968,-78.4647297781
1323983;04092021899;FOOD LION #193 PRODUCE;5633 CREEDMOOR RD;;RALEIGH;NC;27612;(919) 781-0597;2015-10-21T22:00:00-04:00;Food Stand;629;-78.68200551;35.85879117;M;"{""type"": ""Point"", ""coordinates"": [-78.68200814011182, 35.858798268374635]}";35.8587982684,-78.6820081401
1323986;04092015915;SUBWAY #50592;601 N MAIN ST;;HOLLY SPRINGS;NC;27545;(919) 557-4411;2011-03-16T21:00:00-04:00;Restaurant;659;-78.83661982;35.66097455;M;"{""type"": ""Point"", ""coordinates"": [-78.83662248562231, 35.6609815932411]}";35.6609815932,-78.8366224856
1323988;04092016809;NIGHT KITCHEN BAKERY;10 W. FRANKLIN STREET;;RALEIGH;NC;27604;(984) 232-8907;2014-11-09T20:00:00-05:00;Restaurant;661;-78.64017516;35.78944175;M;"{""type"": ""Point"", ""coordinates"": [-78.6401777736421, 35.789448834513294]}";35.7894488345,-78.6401777736
1324007;04092030509;Let's Eat (WCID #796);10125 DIVISION DR;;RALEIGH;NC;27603-5664;(919) 753-5725;2020-12-14T20:00:00-05:00;Mobile Food Units;788;-78.7114342;35.633982950000004;M;"{""type"": ""Point"", ""coordinates"": [-78.71143682216149, 35.63398999321413]}";35.6339899932,-78.7114368222
1324013;04092160084;THE CARDINAL AT NORTH HILLS FOOD SERVICE;311 GARDEN AT NORTH HILLS ST;;RALEIGH;NC;27609;(984) 204-8444;2017-05-04T22:00:00-04:00;Institutional Food Service;842;-78.63539181;35.83593253;M;"{""type"": ""Point"", ""coordinates"": [-78.6353944207032, 35.83593962518387]}";35.8359396252,-78.6353944207
1324018;04092014765;Randy's Pizza;4129 Davis DR;;MORRISVILLE;NC;27560;(919) 468-3737;2006-12-21T20:00:00-05:00;Restaurant;857;-78.85811603;35.835626500000004;M;"{""type"": ""Point"", ""coordinates"": [-78.85811870474475, 35.83563358340308]}";35.8356335834,-78.8581187047
1324021;04092016562;THE STATION AT PERSON ST;701 N PERSON ST;;RALEIGH;NC;27604;(919) 977-1567;2013-11-06T20:00:00-05:00;Restaurant;904;-78.63456336;35.78917088;M;"{""type"": ""Point"", ""coordinates"": [-78.63456596643516, 35.78917796297067]}";35.789177963,-78.6345659664
1324025;04092021788;GREEN PLANET CATERING;120 DRY AVE;;CARY;NC;27511;(919) 832-6767;2014-04-15T22:00:00-04:00;Food Stand;910;-78.78306291;35.78337198;M;"{""type"": ""Point"", ""coordinates"": [-78.7830655602293, 35.78337905256349]}";35.7833790526,-78.7830655602
1324031;04092040302;COUSINS CONFECTIONS #4 (WCID #486);4700 TRINITY RD;;RALEIGH;NC;27607;(919) 782-1967;2013-08-27T22:00:00-04:00;Pushcarts;949;-78.71510697;35.79630808;M;"{""type"": ""Point"", ""coordinates"": [-78.71510959965953, 35.79631515630701]}";35.7963151563,-78.7151095997
1324037;04092014694;Brueggers's Bagels;760 W Williams ST;;APEX;NC;27502;(919) 367-7720;2006-09-28T22:00:00-04:00;Restaurant;972;-78.86276064;35.73803218;M;"{""type"": ""Point"", ""coordinates"": [-78.86276331281603, 35.73803924387563]}";35.7380392439,-78.8627633128
1324044;04092015530;SUBWAY #3726;12233 CAPITAL BLVD;;WAKE FOREST;NC;27587-6200;(919) 556-8622;2009-12-10T20:00:00-05:00;Restaurant;1004;-78.54097555;35.98087356;M;"{""type"": ""Point"", ""coordinates"": [-78.54097813966935, 35.98088068384589]}";35.9808806838,-78.5409781397
1324046;04092016016;CHINA UNO;308  VILLAGE WALK  DR;;HOLLY SPRINGS;NC;27540;(919) 557-9888;2011-10-10T22:00:00-04:00;Restaurant;1008;-78.83920922;35.63987917;M;"{""type"": ""Point"", ""coordinates"": [-78.83921188432463, 35.63988621087703]}";35.6398862109,-78.8392118843
1324048;04092017894;Which Wich #670;7202 Knightdale BLVD;;KNIGHTDALE;NC;27545;(919) 373-8883;2018-07-25T22:00:00-04:00;Restaurant;1048;-78.48704631;35.79788571;M;"{""type"": ""Point"", ""coordinates"": [-78.48704887840415, 35.79789279288111]}";35.7978927929,-78.4870488784
1324054;04092017489;J. ALEXANDER'S;4600 CRABTREE VALLEY AVE;;RALEIGH;NC;27612;(984) 200-4493;2016-12-06T20:00:00-05:00;Restaurant;1073;-78.68450309;35.84046562;M;"{""type"": ""Point"", ""coordinates"": [-78.6845057126277, 35.84047271331506]}";35.8404727133,-78.6845057126
1324056;04092015322;SUBWAY #12786;3940 WESTERN BLVD;;RALEIGH;NC;27606;(919) 828-6518;2009-01-12T20:00:00-05:00;Restaurant;1113;-78.69349102;35.78458356;M;"{""type"": ""Point"", ""coordinates"": [-78.6934936415059, 35.78459064209268]}";35.7845906421,-78.6934936415
1324057;04092016964;SUBWAY #42484;3429 N MAIN ST;;FUQUAY-VARINA;NC;27526;(919) 762-0521;2015-06-17T22:00:00-04:00;Restaurant;1123;-78.7258865;35.62516136;M;"{""type"": ""Point"", ""coordinates"": [-78.7258891243291, 35.62516840327775]}";35.6251684033,-78.7258891243
1324058;04092021996;H Mart Meat Department;1961 High House RD;;CARY;NC;27519;(919) 535-5900;2016-12-21T20:00:00-05:00;Food Stand;1127;-78.84865444;35.78921622;M;"{""type"": ""Point"", ""coordinates"": [-78.84865710814032, 35.78922329718074]}";35.7892232972,-78.8486571081
1324059;04092030288;THE CORNER VENEZUELAN FOOD (WCID #539);903 N SMITHFIELD RD;VARIOUS;KNIGHTDALE;NC;27545;(919) 539-6780;2015-09-03T22:00:00-04:00;Mobile Food Units;1130;-78.48796476;35.79576936;M;"{""type"": ""Point"", ""coordinates"": [-78.48796732619192, 35.79577644665038]}";35.7957764467,-78.4879673262
1324062;04092014873;Taqueria Rancho Grande;1401 SE Maynard RD;;CARY;NC;27511;(919) 469-4245;2007-05-21T22:00:00-04:00;Restaurant;1146;-78.7642317;35.78997989;M;"{""type"": ""Point"", ""coordinates"": [-78.76423434738066, 35.78998696287998]}";35.7899869629,-78.7642343474
1324071;04092018209;VICINO'S PIZZA;962A Airport BLVD;;MORRISVILLE;NC;27560;;2019-10-29T21:00:00-04:00;Restaurant;1169;-78.8212912;35.85834226;M;"{""type"": ""Point"", ""coordinates"": [-78.82129387079603, 35.85834935154491]}";35.8583493515,-78.8212938708
1324073;04092018184;Dunkin Donuts/Baskin Robbins 334786;5265 SIX FORKS RD;;RALEIGH;NC;27609-4431;(919) 571-1303;2019-09-24T22:00:00-04:00;Restaurant;1195;-78.64315826;35.85330887;M;"{""type"": ""Point"", ""coordinates"": [-78.64316087391882, 35.853315968497355]}";35.8533159685,-78.6431608739
1324081;04092015966;Jin Jin China;421 Chapanoke Road;Ste. 162;RALEIGH;NC;27603;(919) 772-8868;2011-05-26T22:00:00-04:00;Restaurant;1249;-78.65333581;35.73464573;M;"{""type"": ""Point"", ""coordinates"": [-78.65333842174644, 35.73465280039271]}";35.7346528004,-78.6533384217
1324091;04092016807;TAZIKI'S RTP;7161 O'KELLY CHAPEL ROAD;;CARY;NC;27519;(919) 371-2693;2014-11-12T20:00:00-05:00;Restaurant;1300;-78.88824644;35.84415135;M;"{""type"": ""Point"", ""coordinates"": [-78.88824912866083, 35.84415843521136]}";35.8441584352,-78.8882491287
1324097;04092014893;Moe's Southwest Grill #837;1016-A Shoppes at Midway Drive;;KNIGHTDALE;NC;27545;(919) 266-1018;2007-06-24T22:00:00-04:00;Restaurant;1324;-78.50550835;35.79794748;M;"{""type"": ""Point"", ""coordinates"": [-78.5055109226197, 35.79795457008801]}";35.7979545701,-78.5055109226
1324106;04092160058;BROOKDALE WAKE FOREST DINING;611 S Brooks ST;;WAKE FOREST;NC;27587;(919) 562-8400;2006-09-04T22:00:00-04:00;Institutional Food Service;1377;-78.5098293;35.97161717;M;"{""type"": ""Point"", ""coordinates"": [-78.50983188424806, 35.97162429603218]}";35.971624296,-78.5098318842
1324110;04092017591;MCDONALDS #33850;601 CORPORATE CENTER DR;;RALEIGH;NC;27606;(919) 233-4144;2017-05-02T22:00:00-04:00;Restaurant;1427;-78.74074148;35.79000755;M;"{""type"": ""Point"", ""coordinates"": [-78.74074412355402, 35.79001462306922]}";35.7900146231,-78.7407441236
1324123;04092018121;Chido Taco;2330 BALE ST;;RALEIGH;NC;27608;(919) 594-1930;2019-06-26T22:00:00-04:00;Restaurant;1491;-78.62748278;35.81292611;M;"{""type"": ""Point"", ""coordinates"": [-78.62748538775219, 35.81293319487729]}";35.8129331949,-78.6274853878
1324126;04092016405;THE COWFISH;4208 SIX FORKS  RD;STE 100;RALEIGH;NC;27609;(919) 784-0400;2013-04-04T22:00:00-04:00;Restaurant;1523;-78.63994726;35.83691426;M;"{""type"": ""Point"", ""coordinates"": [-78.63994987719344, 35.83692135225599]}";35.8369213523,-78.6399498772
1324131;04092018120;Marco's Pizza #8486;7500 RAMBLE WAY;Suite 115;RALEIGH;NC;27616;(919) 825-1812;2019-06-25T22:00:00-04:00;Restaurant;1555;-78.537511;35.87630713;M;"{""type"": ""Point"", ""coordinates"": [-78.53751358141922, 35.876314227859886]}";35.8763142279,-78.5375135814
1324134;04092018534;Waffle House #725;2624 WESTINGHOUSE BLVD;;RALEIGH;NC;27604;(919) 833-5954;2021-02-15T20:00:00-05:00;Restaurant;1576;-78.59823562;35.81659394;M;"{""type"": ""Point"", ""coordinates"": [-78.59823821427885, 35.8166010243107]}";35.8166010243,-78.5982382143
1324135;04092017723;SUSHI THAI CARY;106 KILMAYNE DR;;CARY;NC;27511-4465;(919) 467-5747;2017-11-07T20:00:00-05:00;Restaurant;1585;-78.78304446;35.77049321;M;"{""type"": ""Point"", ""coordinates"": [-78.78304711453735, 35.770500278317186]}";35.7705002783,-78.7830471145
1324138;04092017983;JJ Cafe;2143 TEN TEN RD;;APEX;NC;27539;(919) 367-8686;2018-11-25T20:00:00-05:00;Restaurant;1601;-78.81811355;35.72082607;M;"{""type"": ""Point"", ""coordinates"": [-78.81811621052732, 35.720833134486185]}";35.7208331345,-78.8181162105
1324151;04092018091;HAMPTON INN & SUITES BREAKFAST HOLLY SPRINGS;1050 S MAIN ST;;HOLLY SPRINGS;NC;27540;(919) 552-7610;2019-04-23T22:00:00-04:00;Restaurant;1665;-78.83785306;35.63626484;M;"{""type"": ""Point"", ""coordinates"": [-78.83785572616816, 35.63627188142733]}";35.6362718814,-78.8378557262
1324155;04092016506;SONIC DRIVE IN #5735;304 S Main ST;;ROLESVILLE;NC;27571;(919) 562-5540;2013-09-10T22:00:00-04:00;Restaurant;1676;-78.46378987;35.9198667;M;"{""type"": ""Point"", ""coordinates"": [-78.46379243741264, 35.919873819424254]}";35.9198738194,-78.4637924374
1324166;04092017944;Chipotle #3212;11700 Retail DR;;WAKE FOREST;NC;27587;(919) 562-0004;2018-08-21T22:00:00-04:00;Restaurant;1731;-78.5434927;35.96629568;M;"{""type"": ""Point"", ""coordinates"": [-78.54349528619476, 35.966302801852514]}";35.9663028019,-78.5434952862
1324167;04092018504;Earth To Us;2893 JONES FRANKLIN RD;;RALEIGH;NC;27606;(919) 809-8622;2020-12-15T20:00:00-05:00;Restaurant;1733;-78.73666365;35.74405443;M;"{""type"": ""Point"", ""coordinates"": [-78.73666628711854, 35.74406149692232]}";35.7440614969,-78.7366662871
1324168;04092017445;METRO DINER #3002;6325-73 FALLS OF NEUSE RD;;RALEIGH;NC;27615;(919) 578-9053;2016-09-29T22:00:00-04:00;Restaurant;1727;-78.62102418;35.86869281;M;"{""type"": ""Point"", ""coordinates"": [-78.62102679096046, 35.868699912595225]}";35.8686999126,-78.621026791
1324174;04092014532;A Slice of NY Pizza;8301 Brier Creek PKY;Ste. 107;RALEIGH;NC;27617;(919) 405-1301;2006-03-21T20:00:00-05:00;Restaurant;1745;-78.78334742;35.90685073;M;"{""type"": ""Point"", ""coordinates"": [-78.78335008348334, 35.906857828772075]}";35.9068578288,-78.7833500835
1324180;04092021926;CIRCLE K #2703126;3220 POOLE RD;;RALEIGH;NC;27610;;2016-01-04T20:00:00-05:00;Food Stand;1811;-78.58406526;35.77093117;M;"{""type"": ""Point"", ""coordinates"": [-78.58406785356223, 35.77093824483558]}";35.7709382448,-78.5840678536
1324192;04092016959;SHERATON RALEIGH KITCHEN/JIMMY V'S OSTERIA & BAR;421 S SALISBURY ST;;RALEIGH;NC;27601;(919) 834-9900;2015-07-06T22:00:00-04:00;Restaurant;1889;-78.6399062;35.77493479;M;"{""type"": ""Point"", ""coordinates"": [-78.63990880378526, 35.77494186640566]}";35.7749418664,-78.6399088038
1324195;04092016683;ROLY POLY;4040 ED DR;;RALEIGH;NC;27612;(919) 785-0441;2014-05-12T22:00:00-04:00;Restaurant;1894;-78.70319672;35.82518153;M;"{""type"": ""Point"", ""coordinates"": [-78.70319935528734, 35.82518861942577]}";35.8251886194,-78.7031993553
1324198;04092018168;THAI'S NOODLE;2101 GRACE PARK DR;;MORRISVILLE;NC;27560;(919) 481-3036;2019-09-04T22:00:00-04:00;Restaurant;1901;-78.84652326;35.82111262;M;"{""type"": ""Point"", ""coordinates"": [-78.84652593402895, 35.82111970316413]}";35.8211197032,-78.846525934
1324202;04092021650;HARRIS TEETER #353 DELI;13686 CAPITAL BLVD;;WAKE FOREST;NC;27587;(919) 554-3608;2011-02-03T20:00:00-05:00;Food Stand;1949;-78.51867461;36.00548951;M;"{""type"": ""Point"", ""coordinates"": [-78.51867718936889, 36.005496644619846]}";36.0054966446,-78.5186771894
1324212;04092025337;Bul Box North Hills;4421 Six Forks RD;Suite 116 A;RALEIGH;NC;27609;(984) 200-3654;2021-01-10T20:00:00-05:00;Food Stand;2026;-78.64349886;35.84017418;M;"{""type"": ""Point"", ""coordinates"": [-78.64350146841194, 35.84018127432055]}";35.8401812743,-78.6435014684
1324219;04092016267;CHINA KING;313 CROSSROADS BLVD;;CARY;NC;27518;(919) 233-8385;2012-09-30T22:00:00-04:00;Restaurant;2065;-78.73871452;35.76064286;M;"{""type"": ""Point"", ""coordinates"": [-78.73871715458904, 35.76064993114341]}";35.7606499311,-78.7387171546
1324223;04092017665;ALADDIN'S EATERY;4209-136 LASSITER MILL RD;;RALEIGH;NC;27609;(919) 977-9025;2017-08-10T22:00:00-04:00;Restaurant;2077;-78.64419373;35.83866344;M;"{""type"": ""Point"", ""coordinates"": [-78.64419634270371, 35.83867053403582]}";35.838670534,-78.6441963427
1324226;04092015886;SUBWAY #33002;7106 KNIGHTDALE BLVD;;KNIGHTDALE;NC;27545;(919) 261-0406;2011-01-23T20:00:00-05:00;Restaurant;2106;-78.49110797;35.79651289;M;"{""type"": ""Point"", ""coordinates"": [-78.491110530323, 35.79651997372077]}";35.7965199737,-78.4911105303
1324239;04092021833;HARRIS TEETER #319 PRODUCE;2051 W. MILLBROOK ROAD;;RALEIGH;NC;27612;(919) 787-1364;2015-02-12T20:00:00-05:00;Food Stand;2171;-78.67971393;35.85737248;M;"{""type"": ""Point"", ""coordinates"": [-78.67971655039433, 35.85737956928044]}";35.8573795693,-78.6797165504
1324240;04092110117;Green Hope High Sch. Cafeteria;2500 Carpenter Upchurch RD;;CARY;NC;27519;(919) 380-3684;1999-08-11T22:00:00-04:00;Public School Lunchrooms;2179;-78.86673547;35.80474992;M;"{""type"": ""Point"", ""coordinates"": [-78.86673814856728, 35.80475699924382]}";35.8047569992,-78.8667381486
1324243;04092018138;Crema at City Plaza;421 Fayettville ST;;RALEIGH;NC;27601;(919) 834-7279;2019-07-17T22:00:00-04:00;Restaurant;2198;-78.63936414;35.77440995;T;"{""type"": ""Point"", ""coordinates"": [-78.6393667472424, 35.774417025043306]}";35.774417025,-78.6393667472
1324247;04092018417;First Watch;304 GRAND HILL PL;;HOLLY SPRINGS;NC;27540-4490;;2020-08-11T22:00:00-04:00;Restaurant;2250;-78.8436742;35.66711942;M;"{""type"": ""Point"", ""coordinates"": [-78.84367686832354, 35.66712647018418]}";35.6671264702,-78.8436768683
1324249;04092016730;JIMMY JOHN'S #1863;6268 GLENWOOD AVE;STE 100;RALEIGH;NC;27612;(919) 239-4114;2014-08-11T22:00:00-04:00;Restaurant;2205;-78.70374515;35.85715323;M;"{""type"": ""Point"", ""coordinates"": [-78.70374777954493, 35.8571603218589]}";35.8571603219,-78.7037477795
1324257;04092014558;KFC #J120095;4040 Capital BLVD;;RALEIGH;NC;27604;(919) 872-5356;2006-04-23T22:00:00-04:00;Restaurant;2317;-78.58107016;35.83615994;M;"{""type"": ""Point"", ""coordinates"": [-78.58107275413407, 35.836167029136]}";35.8361670291,-78.5810727541
1324258;04092018332;Taqueria La Costena;101 DICKENS RD;;FUQUAY VARINA;NC;27526;(919) 244-9788;2020-03-01T20:00:00-05:00;Restaurant;2318;-78.81133237;35.61594652;M;"{""type"": ""Point"", ""coordinates"": [-78.81133502039577, 35.61595355797919]}";35.615953558,-78.8113350204
1324259;04092021686;HUNT BROTHERS PIZZA;321 S SALEM ST;;APEX;NC;27502;(919) 362-7134;2011-08-31T22:00:00-04:00;Food Stand;2320;-78.85352033;35.72724081;M;"{""type"": ""Point"", ""coordinates"": [-78.85352300057231, 35.72724786868246]}";35.7272478687,-78.8535230006
1324268;04092018416;The Reserve at Mills Farm;1000 MILLS CHASE LOOP;;APEX;NC;27523;(919) 208-5183;2020-08-11T22:00:00-04:00;Restaurant;2349;-78.8298594;35.75052675;M;"{""type"": ""Point"", ""coordinates"": [-78.82986206506492, 35.750533813963386]}";35.750533814,-78.8298620651
1324292;04092015521;NOODLES & COMPANY;200 CROSSROADS  BLVD;STE 110;CARY;NC;27518;(919) 851-5080;2009-11-01T20:00:00-05:00;Restaurant;2458;-78.74109738;35.76025037;M;"{""type"": ""Point"", ""coordinates"": [-78.74110002305687, 35.76025744405035]}";35.7602574441,-78.7411000231
